PORT,VALUE
1087,340
1088,370
1089,277
1090,325
1091,375
1092,299
1093,316
1094,323
1095,316
1096,282
1097,321
1098,318
1099,251
1100,379
1101,305
1102,301
1103,338
1104,806
1105,324
1106,349
1107,289
1108,282
1109,344
1110,330
1111,299
1112,298
1113,331
1114,303
1115,377
1116,288
1117,306
1118,325
1119,322
1120,278
1121,308
1122,323
1123,316
1124,308
1125,346
1126,270
1127,326
1128,316
1129,308
1130,300
1131,331
1132,329
1133,275
1134,265
1135,243
1136,266
1137,291
1138,292
1139,272
1140,303
1141,280
1142,293
1143,286
1144,278
1145,288
1146,311
1147,305
1148,294
1149,334
1150,321
1151,271
1152,296
1153,269
1154,287
1155,278
1156,260
1157,307
1158,327
1159,292
1160,311
1161,301
1162,324
1163,272
1164,301
1165,298
1166,322
1167,288
1168,304
1169,304
1170,341
1171,284
1172,286
1173,319
1174,264
1175,301
1176,317
1177,289
1178,278
1179,312
1180,295
1181,311
1182,323
1183,292
1184,312
1185,295
1186,288
1187,288
1188,330
1189,319
1190,337
1191,341
1192,336
1193,273
1194,293
1195,332
1196,335
1197,293
1198,322
1199,323
1200,329
1201,329
1202,316
1203,316
1204,336
1205,309
1206,317
1207,322
1208,261
1209,347
1210,305
1211,285
1212,316
1213,290
1214,323
1215,334
1216,317
1217,261
1218,326
1219,273
1220,312
1221,300
1222,307
1223,287
1224,338
1225,293
1226,314
1227,304
1228,333
1229,321
1230,323
1231,319
1232,287
1233,320
1234,348
1235,306
1236,334
1237,331
1238,342
1239,303
1240,311
1241,314
1242,318
1243,304
1244,282
1245,339
1246,303
1247,269
1248,287
1249,311
1250,294
1251,319
1252,317
1253,318
1254,275
1255,320
1256,331
1257,333
1258,337
1259,322
1260,336
1261,320
1262,351
1263,360
1264,319
1265,324
1266,306
1267,317
1268,293
1269,319
1270,309
1271,320
1272,346
1273,304
1274,327
1275,338
1276,356
1277,301
1278,330
1279,350
1280,354
1281,336
1282,328
1283,311
1284,306
1285,338
1286,255
1287,316
1288,291
1289,296
1290,295
1291,304
1292,319
1293,312
1294,323
1295,315
1296,302
1297,344
1298,329
1299,321
1300,310
1301,315
1302,271
1303,367
1304,328
1305,339
1306,334
1307,299
1308,321
1309,333
1310,301
1311,308
1312,343
1313,482
1314,338
1315,368
1316,345
1317,325
1318,312
1319,343
1320,275
1321,344
1322,281
1323,288
1324,339
1325,358
1326,360
1327,333
1328,288
1329,310
1330,335
1331,319
1332,326
1333,366
1334,318
1335,311
1336,371
1337,333
1338,337
1339,347
1340,287
1341,343
1342,324
1343,376
1344,367
1345,306
1346,340
1347,334
1348,342
1349,313
1350,298
1351,329
1352,322
1353,357
1354,357
1355,346
1356,351
1357,377
1358,373
1359,324
1360,360
1361,324
1362,312
1363,352
1364,372
1365,295
1366,390
1367,334
1368,297
1369,346
1370,344
1371,339
1372,375
1373,303
1374,293
1375,379
1376,327
1377,343
1378,338
1379,310
1380,362
1381,355
1382,339
1383,345
1384,312
1385,310
1386,356
1387,337
1388,295
1389,335
1390,361
1391,302
1392,310
1393,350
1394,327
1395,337
1396,316
1397,283
1398,298
1399,362
1400,334
1401,314
1402,353
1403,269
1404,335
1405,315
1406,311
1407,294
1408,329
1409,340
1410,373
1411,325
1412,355
1413,359
1414,345
1415,369
1416,331
1417,423
1418,355
1419,351
1420,328
1421,315
1422,338
1423,343
1424,321
1425,363
1426,387
1427,346
1428,329
1429,366
1430,337
1431,348
1432,382
1433,2131
1434,314
1435,340
1436,318
1437,344
1438,357
1439,325
1440,344
1441,312
1442,290
1443,336
1444,281
1445,356
1446,310
1447,332
1448,323
1449,295
1450,361
1451,352
1452,288
1453,275
1454,332
1455,318
1456,330
1457,355
1458,360
1459,379
1460,330
1461,341
1462,354
1463,360
1464,324
1465,381
1466,352
1467,374
1468,316
1469,326
1470,307
1471,315
1472,318
1473,364
1474,322
1475,285
1476,348
1477,305
1478,343
1479,314
1480,299
1481,330
1482,313
1483,354
1484,318
1485,288
1486,326
1487,290
1488,303
1489,362
1490,269
1491,333
1492,310
1493,275
1494,318
1495,306
1496,313
1497,335
1498,359
1499,316
1500,379
1501,289
1502,303
1503,376
1504,285
1505,346
1506,332
1507,311
1508,372
1509,310
1510,323
1511,311
1512,314
1513,359
1514,295
1515,358
1516,318
1517,305
1518,329
1519,298
1520,306
1521,384
1522,342
1523,296
1524,346
1525,283
1526,356
1527,329
1528,321
1529,272
1530,318
1531,322
1532,338
1533,295
1534,265
1535,295
1536,338
1537,307
1538,306
1539,291
1540,330
1541,345
1542,311
1543,274
1544,314
1545,343
1546,309
1547,310
1548,368
1549,354
1550,331
1551,306
1552,403
1553,305
1554,306
1555,342
1556,375
1557,335
1558,317
1559,370
1560,318
1561,348
1562,338
1563,321
1564,333
1565,304
1566,323
1567,335
1568,336
1569,304
1570,366
1571,331
1572,322
1573,375
1574,324
1575,298
1576,358
1577,298
1578,298
1579,329
1580,289
1581,334
1582,330
1583,264
1584,314
1585,320
1586,312
1587,322
1588,378
1589,344
1590,316
1591,335
1592,276
1593,290
1594,335
1595,298
1596,286
1597,356
1598,298
1599,274
1600,334
1601,334
1602,296
1603,331
1604,365
1605,310
1606,323
1607,290
1608,305
1609,308
1610,408
1611,321
1612,350
1613,309
1614,300
1615,346
1616,363
1617,317
1618,325
1619,343
1620,324
1621,342
1622,304
1623,315
1624,348
1625,327
1626,337
1627,349
1628,343
1629,318
1630,320
1631,312
1632,331
1633,343
1634,293
1635,287
1636,354
1637,350
1638,322
1639,343
1640,322
1641,332
1642,329
1643,326
1644,288
1645,349
1646,287
1647,308
1648,321
1649,300
1650,309
1651,327
1652,315
1653,339
1654,325
1655,305
1656,333
1657,300
1658,319
1659,318
1660,343
1661,295
1662,324
1663,264
1664,307
1665,326
1666,327
1667,286
1668,293
1669,291
1670,276
1671,296
1672,319
1673,309
1674,322
1675,304
1676,283
1677,338
1678,346
1679,283
1680,317
1681,322
1682,287
1683,307
1684,369
1685,305
1686,303
1687,353
1688,306
1689,284
1690,360
1691,322
1692,314
1693,361
1694,334
1695,323
1696,308
1697,307
1698,318
1699,295
1700,322
1701,311
1702,325
1703,298
1704,301
1705,297
1706,287
1707,308
1708,300
1709,316
1710,322
1711,318
1712,280
1713,290
1714,278
1715,310
1716,297
1717,289
1718,283
1719,274
1720,52
1721,284
1722,320
1723,313
1724,272
1725,312
1726,291
1727,267
1728,286
1729,305
1730,346
1731,326
1732,322
1733,348
1734,286
1735,307
1736,281
1737,279
1738,306
1739,267
1740,244
1741,292
1742,263
1743,309
1744,315
1745,298
1746,287
1747,290
1748,309
1749,326
1750,277
1751,262
1752,316
1753,266
1754,284
1755,278
1756,296
1757,292
1758,272
1759,313
1760,284
1761,301
1762,257
1763,298
1764,270
1765,300
1766,246
1767,382
1768,271
1769,291
1770,269
1771,319
1772,290
1773,324
1774,303
1775,270
1776,257
1777,323
1778,264
1779,273
1780,347
1781,276
1782,281
1783,288
1784,304
1785,298
1786,297
1787,296
1788,315
1789,329
1790,317
1791,271
1792,306
1793,296
1794,279
1795,302
1796,294
1797,307
1798,297
1799,304
1800,262
1801,318
1802,246
1803,289
1804,310
1805,293
1806,291
1807,319
1808,296
1809,259
1810,299
1811,282
1812,236
1813,274
1814,262
1815,276
1816,294
1817,285
1818,263
1819,296
1820,265
1821,280
1822,297
1823,276
1824,258
1825,318
1826,288
1827,295
1828,309
1829,254
1830,260
1831,295
1832,269
1833,252
1834,300
1835,299
1836,288
1837,285
1838,279
1839,271
1840,297
1841,251
1842,258
1843,275
1844,280
1845,290
1846,269
1847,258
1848,263
1849,274
1850,277
1851,300
1852,288
1853,259
1854,271
1855,319
1856,251
1857,263
1858,294
1859,296
1860,262
1861,320
1862,231
1863,256
1864,298
1865,253
1866,263
1867,291
1868,257
1869,294
1870,284
1871,275
1872,264
1873,274
1874,266
1875,280
1876,279
1877,265
1878,276
1879,282
1880,273
1881,271
1882,276
1883,256
1884,261
1885,261
1886,282
1887,283
1888,268
1889,264
1890,273
1891,274
1892,317
1893,317
1894,264
1895,274
1896,245
1897,313
1898,270
1899,270
1900,234
1901,281
1902,228
1903,286
1904,271
1905,266
1906,277
1907,305
1908,261
1909,277
1910,304
1911,281
1912,261
1913,284
1914,274
1915,313
1916,288
1917,273
1918,236
1919,268
1920,252
1921,278
1922,269
1923,231
1924,273
1925,288
1926,261
1927,244
1928,246
1929,276
1930,293
1931,277
1932,280
1933,277
1934,284
1935,273
1936,301
1937,306
1938,290
1939,230
1940,275
1941,241
1942,235
1943,284
1944,278
1945,271
1946,282
1947,281
1948,248
1949,273
1950,259
1951,268
1952,276
1953,244
1954,253
1955,267
1956,272
1957,262
1958,271
1959,219
1960,241
1961,277
1962,263
1963,270
1964,264
1965,258
1966,234
1967,296
1968,273
1969,252
1970,288
1971,244
1972,257
1973,282
1974,247
1975,239
1976,308
1977,288
1978,275
1979,275
1980,292
1981,269
1982,282
1983,258
1984,280
1985,272
1986,265
1987,269
1988,240
1989,269
1990,251
1991,300
1992,255
1993,238
1994,269
1995,277
1996,240
1997,270
1998,249
1999,256
2000,279
2001,269
2002,232
2003,288
2004,239
2005,253
2006,246
2007,252
2008,259
2009,253
2010,271
2011,258
2012,287
2013,270
2014,279
2015,292
2016,264
2017,257
2018,269
2019,275
2020,264
2021,245
2022,228
2023,259
2024,235
2025,254
2026,243
2027,239
2028,251
2029,233
2030,251
2031,281
2032,259
2033,249
2034,250
2035,249
2036,260
2037,240
2038,240
2039,286
2040,254
2041,231
2042,282
2043,250
2044,254
2045,270
2046,260
2047,240
2048,272
2049,253
2050,241
2051,297
2052,235
2053,222
2054,268
2055,234
2056,273
2057,261
2058,232
2059,242
2060,290
2061,240
2062,217
2063,263
2064,214
2065,226
2066,264
2067,226
2068,279
2069,255
2070,277
2071,265
2072,256
2073,253
2074,254
2075,257
2076,279
2077,239
2078,236
2079,224
2080,219
2081,238
2082,241
2083,260
2084,274
2085,255
2086,246
2087,316
2088,255
2089,255
2090,255
2091,255
2092,256
2093,273
2094,270
2095,250
2096,281
2097,254
2098,241
2099,225
2100,242
2101,252
2102,241
2103,237
2104,256
2105,280
2106,257
2107,227
2108,271
2109,261
2110,232
2111,256
2112,237
2113,220
2114,266
2115,230
2116,226
2117,230
2118,224
2119,217
2120,240
2121,237
2122,225
2123,261
2124,214
2125,239
2126,226
2127,227
2128,267
2129,256
2130,258
2131,221
2132,309
2133,234
2134,260
2135,248
2136,266
2137,225
2138,256
2139,232
2140,223
2141,245
2142,244
2143,198
2144,286
2145,232
2146,231
2147,235
2148,212
2149,248
2150,256
2151,248
2152,242
2153,259
2154,221
2155,226
2156,252
2157,245
2158,219
2159,255
2160,214
2161,229
2162,247
2163,236
2164,223
2165,216
2166,240
2167,208
2168,275
2169,202
2170,258
2171,238
2172,266
2173,240
2174,274
2175,226
2176,236
2177,244
2178,231
2179,255
2180,256
2181,237
2182,246
2183,244
2184,228
2185,226
2186,227
2187,236
2188,227
2189,237
2190,273
2191,213
2192,256
2193,211
2194,201
2195,224
2196,253
2197,212
2198,272
2199,252
2200,253
2201,239
2202,206
2203,215
2204,223
2205,233
2206,246
2207,254
2208,234
2209,240
2210,218
2211,227
2212,211
2213,229
2214,225
2215,240
2216,242
2217,245
2218,267
2219,250
2220,242
2221,230
2222,259
2223,234
2224,214
2225,250
2226,219
2227,194
2228,252
2229,242
2230,195
2231,201
2232,229
2233,226
2234,251
2235,196
2236,233
2237,266
2238,223
2239,244
2240,274
2241,256
2242,246
2243,247
2244,227
2245,297
2246,226
2247,223
2248,232
2249,237
2250,246
2251,236
2252,276
2253,245
2254,239
2255,238
2256,258
2257,267
2258,289
2259,212
2260,180
2261,226
2262,234
2263,236
2264,216
2265,241
2266,239
2267,221
2268,246
2269,213
2270,233
2271,253
2272,219
2273,240
2274,238
2275,235
2276,227
2277,230
2278,244
2279,259
2280,209
2281,232
2282,243
2283,213
2284,234
2285,234
2286,210
2287,233
2288,201
2289,245
2290,240
2291,234
2292,214
2293,248
2294,256
2295,213
2296,229
2297,226
2298,233
2299,218
2300,250
2301,234
2302,223
2303,271
2304,226
2305,237
2306,214
2307,217
2308,206
2309,237
2310,237
2311,214
2312,257
2313,223
2314,255
2315,237
2316,223
2317,292
2318,220
2319,220
2320,236
2321,225
2322,243
2323,231
2324,227
2325,229
2326,212
2327,231
2328,210
2329,230
2330,246
2331,233
2332,221
2333,222
2334,233
2335,218
2336,214
2337,187
2338,191
2339,208
2340,208
2341,220
2342,221
2343,221
2344,213
2345,242
2346,199
2347,224
2348,220
2349,229
2350,231
2351,201
2352,217
2353,220
2354,233
2355,198
2356,211
2357,284
2358,234
2359,229
2360,238
2361,248
2362,218
2363,210
2364,232
2365,234
2366,222
2367,250
2368,216
2369,241
2370,245
2371,198
2372,218
2373,209
2374,222
2375,211
2376,232
2377,193
2378,268
2379,211
2380,179
2381,226
2382,215
2383,212
2384,231
2385,237
2386,221
2387,243
2388,224
2389,204
2390,228
2391,235
2392,215
2393,218
2394,227
2395,228
2396,243
2397,207
2398,448
2399,210
2400,231
2401,239
2402,217
2403,188
2404,238
2405,227
2406,234
2407,225
2408,220
2409,224
2410,215
2411,219
2412,213
2413,210
2414,228
2415,206
2416,210
2417,266
2418,226
2419,218
2420,374
2421,208
2422,196
2423,227
2424,208
2425,237
2426,255
2427,203
2428,230
2429,230
2430,201
2431,246
2432,220
2433,218
2434,234
2435,205
2436,215
2437,233
2438,236
2439,231
2440,238
2441,232
2442,241
2443,238
2444,240
2445,202
2446,243
2447,200
2448,234
2449,197
2450,228
2451,204
2452,222
2453,203
2454,199
2455,200
2456,254
2457,213
2458,212
2459,214
2460,198
2461,185
2462,206
2463,188
2464,170
2465,204
2466,183
2467,192
2468,174
2469,207
2470,176
2471,228
2472,200
2473,256
2474,226
2475,241
2476,201
2477,221
2478,196
2479,208
2480,204
2481,218
2482,219
2483,249
2484,226
2485,223
2486,234
2487,231
2488,207
2489,211
2490,215
2491,204
2492,235
2493,209
2494,227
2495,222
2496,203
2497,219
2498,201
2499,227
2500,206
2501,236
2502,186
2503,211
2504,245
2505,202
2506,196
2507,201
2508,216
2509,221
2510,187
2511,191
2512,183
2513,189
2514,196
2515,219
2516,209
2517,220
2518,226
2519,191
2520,211
2521,208
2522,221
2523,220
2524,216
2525,215
2526,218
2527,205
2528,232
2529,201
2530,228
2531,210
2532,212
2533,190
2534,229
2535,219
2536,168
2537,209
2538,183
2539,216
2540,197
2541,195
2542,196
2543,229
2544,207
2545,203
2546,252
2547,180
2548,226
2549,230
2550,206
2551,230
2552,192
2553,192
2554,225
2555,177
2556,231
2557,234
2558,213
2559,199
2560,196
2561,211
2562,180
2563,244
2564,195
2565,233
2566,213
2567,225
2568,200
2569,222
2570,233
2571,223
2572,223
2573,232
2574,191
2575,200
2576,254
2577,210
2578,215
2579,217
2580,209
2581,205
2582,189
2583,183
2584,209
2585,218
2586,219
2587,214
2588,205
2589,219
2590,221
2591,214
2592,207
2593,237
2594,230
2595,173
2596,200
2597,201
2598,186
2599,183
2600,195
2601,184
2602,217
2603,192
2604,176
2605,161
2606,186
2607,182
2608,189
2609,195
2610,190
2611,190
2612,192
2613,213
2614,195
2615,247
2616,211
2617,202
2618,227
2619,180
2620,235
2621,209
2622,234
2623,204
2624,211
2625,202
2626,185
2627,195
2628,190
2629,198
2630,206
2631,188
2632,191
2633,209
2634,215
2635,216
2636,232
2637,218
2638,191
2639,219
2640,195
2641,202
2642,206
2643,217
2644,185
2645,196
2646,197
2647,185
2648,203
2649,208
2650,187
2651,202
2652,173
2653,195
2654,235
2655,339
2656,178
2657,189
2658,194
2659,220
2660,193
2661,214
2662,191
2663,191
2664,193
2665,176
2666,220
2667,178
2668,198
2669,204
2670,206
2671,212
2672,194
2673,206
2674,190
2675,205
2676,222
2677,207
2678,210
2679,168
2680,191
2681,210
2682,193
2683,173
2684,192
2685,222
2686,191
2687,198
2688,212
2689,200
2690,197
2691,187
2692,188
2693,186
2694,192
2695,202
2696,216
2697,209
2698,180
2699,210
2700,209
2701,196
2702,222
2703,198
2704,201
2705,203
2706,181
2707,187
2708,187
2709,229
2710,188
2711,221
2712,198
2713,200
2714,195
2715,195
2716,188
2717,197
2718,211
2719,201
2720,203
2721,210
2722,344
2723,222
2724,180
2725,183
2726,197
2727,210
2728,194
2729,197
2730,207
2731,218
2732,175
2733,181
2734,196
2735,206
2736,187
2737,199
2738,200
2739,187
2740,184
2741,200
2742,176
2743,168
2744,203
2745,196
2746,181
2747,193
2748,174
2749,186
2750,196
2751,185
2752,193
2753,227
2754,201
2755,215
2756,198
2757,190
2758,204
2759,197
2760,189
2761,206
2762,195
2763,182
2764,198
2765,207
2766,201
2767,172
2768,195
2769,184
2770,191
2771,201
2772,184
2773,150
2774,191
2775,168
2776,172
2777,174
2778,173
2779,173
2780,197
2781,193
2782,187
2783,183
2784,174
2785,202
2786,203
2787,195
2788,196
2789,184
2790,178
2791,161
2792,201
2793,194
2794,202
2795,221
2796,212
2797,198
2798,192
2799,201
2800,217
2801,208
2802,192
2803,224
2804,214
2805,190
2806,196
2807,197
2808,170
2809,196
2810,172
2811,164
2812,175
2813,212
2814,175
2815,181
2816,191
2817,170
2818,180
2819,183
2820,193
2821,188
2822,193
2823,164
2824,173
2825,188
2826,170
2827,181
2828,163
2829,214
2830,185
2831,201
2832,178
2833,194
2834,206
2835,175
2836,221
2837,186
2838,187
2839,194
2840,175
2841,167
2842,188
2843,180
2844,169
2845,173
2846,189
2847,191
2848,183
2849,193
2850,177
2851,169
2852,205
2853,177
2854,180
2855,200
2856,197
2857,223
2858,200
2859,195
2860,196
2861,184
2862,215
2863,198
2864,198
2865,169
2866,213
2867,214
2868,197
2869,209
2870,220
2871,196
2872,192
2873,185
2874,197
2875,198
2876,195
2877,175
2878,190
2879,191
2880,208
2881,184
2882,174
2883,211
2884,207
2885,193
2886,176
2887,179
2888,190
2889,193
2890,174
2891,194
2892,164
2893,181
2894,186
2895,186
2896,199
2897,203
2898,206
2899,193
2900,190
2901,188
2902,197
2903,182
2904,192
2905,213
2906,166
2907,208
2908,193
2909,194
2910,208
2911,173
2912,188
2913,178
2914,177
2915,177
2916,162
2917,183
2918,215
2919,195
2920,180
2921,184
2922,211
2923,212
2924,203
2925,201
2926,200
2927,193
2928,215
2929,208
2930,195
2931,230
2932,159
2933,209
2934,186
2935,185
2936,201
2937,161
2938,213
2939,182
2940,187
2941,190
2942,166
2943,193
2944,179
2945,191
2946,192
2947,212
2948,184
2949,209
2950,198
2951,202
2952,195
2953,175
2954,175
2955,182
2956,181
2957,187
2958,183
2959,188
2960,184
2961,165
2962,185
2963,210
2964,181
2965,193
2966,206
2967,199
2968,193
2969,195
2970,199
2971,171
2972,198
2973,161
2974,157
2975,197
2976,158
2977,172
2978,163
2979,165
2980,145
2981,185
2982,173
2983,162
2984,171
2985,169
2986,188
2987,164
2988,178
2989,195
2990,174
2991,185
2992,173
